Address,Location,Type,,Tags
10.45.2.0/24,dg-core-prd,IP Netmask,,
10.45.3.0/24,dg-core-prd,IP Netmask,,
10.50.2.0/24,dg-core-prd,IP Netmask,,
10.6.1.0/24,dg-core-prd,IP Netmask,,
10.6.250.64/27,dg-core-prd,IP Netmask,,
10.8.2.0/24,dg-core-prd,IP Netmask,,
10.8.250.0/27,dg-core-prd,IP Netmask,,
10.8.4.0/24,dg-core-prd,IP Netmask,,
13.66.226.80,dg-core-prd,IP Netmask,,
172.16.12.0/25,dg-core-prd,IP Netmask,,
172.16.12.128/25,dg-core-prd,IP Netmask,,
172.16.13.0/26,dg-core-prd,IP Netmask,,
172.16.13.128/26,dg-core-prd,IP Netmask,,
172.16.13.192/26,dg-core-prd,IP Netmask,,
172.16.13.64/26,dg-core-prd,IP Netmask,,
172.16.14.0/25,dg-core-prd,IP Netmask,,
172.16.14.128/26,dg-core-prd,IP Netmask,,
172.16.16.0/22,dg-core-prd,IP Netmask,,
172.16.17.0/24,dg-core-prd,IP Netmask,,
172.16.18.0/24,dg-core-prd,IP Netmask,,
172.16.201.0/24,dg-core-prd,IP Netmask,,
172.17.10.0/16,dg-core-prd,IP Netmask,,
172.17.100.0/25,dg-core-prd,IP Netmask,,
172.17.101.128/27,dg-core-prd,IP Netmask,,
172.17.101.64/27,dg-core-prd,IP Netmask,,
172.17.111.0/26,dg-core-prd,IP Netmask,,
172.17.112.0/28,dg-core-prd,IP Netmask,,
172.17.128.0/28,dg-core-prd,IP Netmask,,
172.17.140.0/22,dg-core-prd,IP Netmask,,
172.17.144.0/22,dg-core-prd,IP Netmask,,
172.17.150.0/23,dg-core-prd,IP Netmask,,
172.17.152.0/27,dg-core-prd,IP Netmask,,
172.17.152.0/27,dg-core-prd,IP Netmask,,
172.17.153.0/24,dg-core-prd,IP Netmask,,
172.17.154.0/24,dg-core-prd,IP Netmask,,
172.17.156.0/23,dg-core-prd,IP Netmask,,
172.17.170.0/23,dg-core-prd,IP Netmask,,
172.17.172.0/23,dg-core-prd,IP Netmask,,
172.17.172.0/25,dg-core-prd,IP Netmask,,
172.17.176.0/22,dg-core-prd,IP Netmask,,
172.17.196.0/25,dg-core-prd,IP Netmask,,
172.17.196.128/26,dg-core-prd,IP Netmask,,
172.17.196.192/26,dg-core-prd,IP Netmask,,
172.17.23.54/32,dg-core-prd,IP Netmask,,
172.17.250.0/25,dg-core-prd,IP Netmask,,
172.17.30.0/23,dg-core-prd,IP Netmask,,
172.17.32.0/24,dg-core-prd,IP Netmask,,
172.17.33.0/24,dg-core-prd,IP Netmask,,
172.17.34.0/24,dg-core-prd,IP Netmask,,
172.17.41.224/27,dg-core-prd,IP Netmask,,
172.17.41.32/27,dg-core-prd,IP Netmask,,
172.17.56.0/22,dg-core-prd,IP Netmask,,
172.17.60.0/24,dg-core-prd,IP Netmask,,
172.17.62.0/23,dg-core-prd,IP Netmask,,
172.17.64.0/22,dg-core-prd,IP Netmask,,
172.17.68.0/22,dg-core-prd,IP Netmask,,
172.17.68.0/24,dg-core-prd,IP Netmask,,
172.17.72.0/27,dg-core-prd,IP Netmask,,
172.17.72.128/25,dg-core-prd,IP Netmask,,
172.17.72.64/27,dg-core-prd,IP Netmask,,
172.17.73.0/27,dg-core-prd,IP Netmask,,
172.17.74.0/24,dg-core-prd,IP Netmask,,
172.17.75.128/25,dg-core-prd,IP Netmask,,
172.17.76.0/26,dg-core-prd,IP Netmask,,
172.17.76.128/27,dg-core-prd,IP Netmask,,
172.17.76.160/27,dg-core-prd,IP Netmask,,
172.17.76.192/27,dg-core-prd,IP Netmask,,
172.17.76.64/26,dg-core-prd,IP Netmask,,
